permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
6th-sense-analytics,6th Sense Analytics,http://www.sixthsenseanalytics.com,Software,6700000,acquired,USA,NC,Raleigh,Morrisville,2,2004-01-01,2005-11-11,2007-01-31
6th-wave-innovations-corporation,6th Wave Innovations Corporation,http://6wic.com/,Nanotechnology,2569720,operating,USA,MD,Baltimore,Arnold,2,2013-07-03,2014-04-29,2015-07-08
6tribes,6Tribes,http://6tribes.com/,Social Network Media,1556687,operating,GBR,H9,London,London,3,2014-01-01,2014-11-10,2015-11-10
6wunderkinder,6Wunderkinder / Wunderlist,https://www.wunderlist.com/home,Android@@Apps@@Cloud Computing@@Collaboration@@Email@@Finance@@Home & Garden@@Internet@@iOS@@iPad@@iPhone@@Mac@@Productivity Software@@Software@@Synchronization@@Task Management@@Web Development,23857750,acquired,DEU,,,,5,2010-09-01,2010-12-21,2013-11-12
7-billion-people,7 Billion People,http://www.7bpeople.com,Analytics@@E-Commerce@@Software,6528902,closed,USA,TX,Austin,Austin,3,2006-01-01,2009-02-09,2012-07-13
7-bites,7-bites,http://7-bites.com,Enterprise Software,295000,operating,JPN,,,,1,,2013-06-27,2013-06-27
7-cups-of-tea,7 Cups of Tea,http://www.7cups.com,Health and Wellness@@Health Care@@Health Services Industry,-,operating,USA,VA,Norfolk - Virginia Beach,Virginia Beach,2,2013-01-01,2013-03-01,2013-09-01
7-elements-studios,7 Elements Studios,http://www.7elementsstudios.com,Development Platforms@@Games@@Online Gaming,150000,operating,ISR,5,Tel Aviv,Tel Aviv,1,,2013-11-14,2013-11-14
7-oaks-pharmaceutical,7 Oaks Pharmaceutical,http://bensalhprx.com,Biotechnology,1613014,operating,USA,SC,Greenville - Spartanburg,Easley,1,1997-01-01,2011-06-06,2011-06-06
7-star-entertainment,7 Star Entertainment,http://www.7starent.com,Games,10000000,operating,USA,FL,Ft. Lauderdale,Pompano Beach,1,,2010-07-14,2010-07-14
700bike,700Bike,http://www.700bike.com/,Bicycles@@Communities,15000000,operating,CHN,22,Beijing,Beijing,1,2012-01-01,2015-03-26,2015-03-26
71lbs,71lbs,http://71lbs.com,Analytics@@Network Security@@Shipping@@Small and Medium Businesses@@Startups,2450000,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,5,2011-03-03,2012-03-20,2014-06-08
720,720°,http://720.fi,Analytics@@Health and Wellness@@Predictive Analytics,190035,operating,FIN,13,Helsinki,Espoo,1,2012-01-01,2014-10-23,2014-10-23
72798-com,72798.com,http://www.72798.com,E-Commerce,3107198,operating,CHN,22,Beijing,Beijing,1,2011-06-03,2011-08-01,2011-08-01
72lux,Shoppable,http://www.Shoppable.com/,Advertising@@Consumers@@E-Commerce@@Mobile Commerce@@Retail@@SaaS@@Software,1500000,operating,USA,NY,New York City,New York,2,2011-11-01,2011-10-26,2012-09-01
72xuan,72xuan,http://www.72xuan.com/,Manufacturing,-,operating,,,,,1,,2011-01-01,2011-01-01
77-pieces,77 Pieces,http://www.77-pieces.com,Curated Web,650000,closed,NZL,G2,Wellington,Wellington,1,2010-05-25,2011-03-01,2011-03-01
777-davis,777 Davis,,Technology,2875000,operating,USA,CA,SF Bay Area,San Leandro,1,2011-01-01,2011-10-03,2011-10-03
79-group,79 Group,http://www.79group.com/,Manufacturing,1500000,operating,USA,TX,Houston,Pearland,1,2012-04-01,2014-07-10,2014-07-10
7ac-technologies,7AC Technologies,http://7actech.com,Clean Technology,16036000,operating,USA,MA,Boston,Beverly,6,2009-01-01,2011-12-13,2015-06-26
7billionideas,7billionideas,http://www.7billionideas.com,Social Media,47570,operating,GBR,G7,Surbiton,Surbiton,1,2011-01-01,2012-04-07,2012-04-07
7digital,7digital,http://about.7digital.com,Content Creators@@Content Delivery@@Licensing@@Music@@Music Services@@Technology,20068328.451591,acquired,GBR,H9,London,London,4,2004-01-01,2005-09-01,2013-11-25
7dnei-net,7dnei.net,https://7dnei.net/,Broadcasting@@Business Services@@Training,120000,operating,,,,,1,2015-02-02,2014-02-05,2014-02-05
7fgame,7fgame,http://www.7fgame.com,Games,-,operating,CHN,23,Shanghai,Shanghai,1,2006-01-01,2009-12-01,2009-12-01
7k7k-com,7k7k.com,http://www.7k7k.com,Games,1136548,operating,CHN,22,Beijing,Beijing,2,2003-01-01,2010-05-01,2012-10-10
7mb-technologies,7mb Technologies,,Software,1017470,operating,USA,WA,Seattle,Seattle,3,2013-01-01,2013-10-28,2015-08-14
7park-data,7Park Data,http://7parkdata.com,Analytics@@B2B@@Big Data@@Business Intelligence@@Enterprises@@Enterprise Software@@Finance@@Mobile@@SaaS,3000000,operating,USA,NY,New York City,New York,1,2012-01-01,2015-08-26,2015-08-26
7signal-solutions,7signal Solutions,http://7signal.com,Web Hosting,9850000,operating,USA,OH,Akron - Canton,Akron,4,2006-01-01,2011-01-01,2013-10-15
7summits,7Summits,http://www.7summitsagency.com,Brand Marketing@@Communities@@Consulting@@Semantic Search@@SEO,600000,operating,USA,WI,Milwaukee,Milwaukee,3,2009-04-01,2010-01-01,2014-05-01
7tm-pharma,7TM Pharma,,Biotechnology@@Diabetes@@Therapeutics,22000000,operating,,,,,1,,2007-06-12,2007-06-12
7write,7write,http://7write.com,Publishing,269260,operating,NLD,7,Amsterdam,Amsterdam,2,2013-03-01,2013-04-02,2013-06-25
8-50-sports,850 Sports News Digest,http://850sportsapp.com/,Apps,500000,operating,GBR,H9,London,London,1,,2015-03-23,2015-03-23
8-inc,8 Inc.,http://www.weare8.com,Design@@Internet@@Shared Services,4500000,operating,USA,NY,New York City,New York,2,2013-03-01,2013-07-01,2014-08-01
8-securities-limited,8 Securities,http://www.8securities.com,Finance Technology@@FinTech@@Mobile@@Personal Finance@@Technology@@Wealth Management,17000000,operating,HKG,,Hong Kong,Hong Kong,2,2012-05-21,2012-01-04,2014-08-02
80-20-solutions,80/20 Solutions,http://www.8020solutions.com,Advertising@@Email@@Loyalty Programs@@Mobile@@SaaS@@Sales and Marketing@@Social Media@@Software,2100000,closed,CAN,ON,Toronto,Toronto,1,,2009-08-07,2009-08-07
80-degrees-west,80 Degrees West,http://80dwid.com,Home Decor@@Interior Design@@Internet,25000,operating,USA,PA,Pittsburgh,Pittsburgh,2,,2009-06-03,2010-05-17
800-com,800.COM,http://www.800.com/,Services,77000000,operating,USA,OR,"Portland, Oregon",Portland,2,,1999-11-30,2001-06-12
800app,800APP,http://www.800app.com,Networking@@Software@@Web Hosting,-,operating,CHN,22,Beijing,Beijing,2,2004-05-04,2008-11-08,2011-09-21
800razors,800razors,http://www.800razors.com,E-Commerce,100000,operating,USA,MD,"Washington, D.C.",Southern Md Facility,1,2012-01-01,2013-02-19,2013-02-19
8020publishing,8020 Media,http://www.8020media.com,Curated Web@@News@@Photography@@Publishing,-,operating,USA,CA,SF Bay Area,San Francisco,1,2006-06-01,2006-01-01,2006-01-01
8020select,8020select,http://8020select.com,Crowdsourcing@@Design@@Graphics,25000,operating,USA,PA,Pittsburgh,Pittsburgh,3,,2011-10-26,2013-02-06
80th-street-residence-facc-fund-i,80th Street Residence FACC Fund I,,Health and Wellness,5100000,operating,USA,CA,Anaheim,Newport Beach,1,2011-01-01,2011-11-18,2011-11-18
818-sports-entertainment,818 Sports & Entertainment,http://www.818se.com/,Digital Entertainment@@Entertainment@@Sports,27000000,operating,USA,NY,New York City,New York,2,2012-01-01,2013-03-15,2013-05-30
8218-west-third,8218 West Third,,Beauty@@Fashion@@Service Providers,400000,operating,USA,CA,Los Angeles,Los Angeles,1,,2006-02-20,2006-02-20
88-famibio,88 Famibio,,,-,closed,,,,,1,,2012-07-01,2012-07-01
8868,8868,http://www.8868.cn,E-Commerce@@Games,-,operating,CHN,,,,1,2012-01-01,2013-12-01,2013-12-01
88tc88,88tc88,http://88tc88.com,Mobile,-,operating,,,,,1,,2012-05-21,2012-05-21
89-bits-entertainment-studio,89 Bits Entertainment Studio,http://www.89bits.es,Entertainment@@Games@@Media,55398,operating,ESP,27,Logrono,Logroño,1,,2014-05-01,2014-05-01
8aweek,8aweek,http://8aweek.com,Curated Web@@Task Management,-,closed,,,,,1,2008-01-01,2008-03-02,2008-03-02
8bit-2,8bit,http://www.get8bit.com,Advertising@@Content Discovery,140000,operating,GBR,H9,London,London,2,2013-02-01,2014-02-01,2014-07-01
8digits,8digits,http://www.8digits.com,Analytics@@Big Data@@E-Commerce@@Marketing Automation@@Sales and Marketing,-,operating,TUR,34,Istanbul,Istanbul,2,2012-01-03,2012-06-01,2013-11-28
8dworld,8D World,http://www.8dworld.com/English/Home.html,Games@@Virtual Worlds,12250000,closed,USA,MA,Boston,Woburn,2,,2008-03-01,2010-12-09
8eighty-wear,8eighty Wear,http://www.8eightywear.com/,Fashion,-,operating,USA,NY,New York City,New York,1,2012-03-15,2012-12-17,2012-12-17
8fit-fitness-for-the-rest-of-us,8fit - Fitness for the rest of us,http://8fit.com,Exercise@@Fitness@@Tracking,2730000,operating,USA,CA,SF Bay Area,Palo Alto,3,2014-03-01,2014-02-26,2015-08-31
8hands,8hands,http://www.8hands.com,Messaging@@Public Relations@@Social Media,1500000,closed,ISR,,,,2,,2008-01-01,2008-01-01
8i,8i,http://8i.com/,3D,14481680.93113,operating,,,,,2,2014-05-01,2014-08-07,2015-10-14
8minutenergy-renewables,8minutenergy Renewables,http://8minutenergy.com,Clean Technology,30000000,operating,USA,CA,Sacramento,Folsom,1,,2014-06-17,2014-06-17
8packs,8packs,http://www.8packs.com,Sports@@Technology,79501,operating,SGP,,,,2,2014-02-02,2014-03-01,2014-09-01
8th-story,8th Story,http://www.8thstory.com,E-Commerce@@Fashion@@Lifestyle@@Retail,-,operating,USA,CA,Los Angeles,Los Angeles,1,2013-01-01,2013-08-01,2013-08-01
8tracks,8tracks Radio,http://www.8tracks.com,Music,5279980,operating,USA,CA,SF Bay Area,San Francisco,3,2008-08-08,2012-10-26,2015-06-11
8trip,8Trip,http://8trip.cn,Travel,24600000,operating,CHN,4,Shanghai,Suzhou,1,2011-01-01,2013-11-13,2013-11-13
8villages,8villages,http://www.8villages.com,Analytics@@Apps@@Big Data@@E-Commerce@@Education@@Enterprise Software@@Internet of Things@@Media@@Mobile@@Payments@@SaaS@@Social Media,150000,operating,SGP,,Singapore,Singapore,1,2013-11-28,2013-12-01,2013-12-01
8wood,8WOOD,http://www.8wood.id,Fashion,-,operating,IDN,,,,1,2013-02-13,2015-05-05,2015-05-05
8x8-inc,8x8 Inc,https://www.8x8.com,Contact Centers@@Telecommunications@@Unifed Communications@@Video Conferencing,126000000,ipo,USA,CA,SF Bay Area,San Jose,1,1987-01-01,2013-11-20,2013-11-20
9-plus-studio,9+ Program,http://www.9plus.us,Consulting,4500000,operating,USA,CA,SF Bay Area,Menlo Park,2,2013-01-01,2013-07-11,2013-09-03
908-devices,908 Devices,http://908devices.com,Manufacturing,29300000,operating,USA,MA,Boston,Boston,4,2012-01-01,2012-09-05,2015-05-06
909c,909c,http://www.909c.fr/,Apps@@Publishing@@Social Media@@Social Media Marketing,1292301,closed,,,,,1,2010-01-01,2013-07-05,2013-07-05
90min,90min,http://www.90min.com,Media@@News@@Publishing@@Soccer@@Sports,38800000,operating,GBR,H9,London,London,3,2011-01-01,2013-05-07,2015-10-06
90sec-technologies,90sec Technologies,http://www.90sec.me,Apps@@Consumer Electronics@@Mobile@@Social Media@@Television@@Weddings,100000,operating,ISR,5,Tel Aviv,Tel Aviv,1,2013-06-30,2013-09-01,2013-09-01
91-boyuan-wireles,91 Boyuan Wireles,http://dev.91.com,Mobile,20000000,operating,CHN,3,Fuzhou Shi,Fuzhou Shi,1,,2011-12-01,2011-12-01
91-golf,91 Golf,http://www.91golf.com,Mobile,317460,operating,CHN,24,CHN - Other,Jincheng,1,,2012-01-01,2012-01-01
91-wireless,91 Wireless,http://www.91.com,Mobile,30000000,acquired,CHN,3,Fuzhou Shi,Fuzhou Shi,1,2010-09-01,2011-12-01,2011-12-01
911-pets,911 Pets,http://911pets.us/,,-,operating,USA,TX,Dallas,Dallas,1,2013-12-28,2013-12-28,2013-12-28
911-view,911 View,,,15000,operating,USA,TN,Chattanooga,Chattanooga,1,,2012-06-01,2012-06-01
915-labs-llc,915 Labs LLC,http://www.915labs.com,Food Processing,3000000,operating,USA,CO,Denver,Denver,2,2014-01-01,2014-11-20,2015-11-04
9158-julur-com,9158 Julur.com,http://www.9158.com/,Social Media,4502251,operating,CHN,22,Beijing,Beijing,1,,2010-12-01,2010-12-01
91app,91App,http://91app.com,Application Platforms@@Development Platforms@@Mass Customization,9000000,operating,CHN,4,Taiwan,Taiwan,1,,2015-03-24,2015-03-24
91datong-com,91datong.com,http://www.91datong.com/,Finance,63590263,operating,CHN,22,Beijing,Beijing,1,,2011-03-01,2011-03-01
